Análise dos Portais da Transparência,,,,,Estado,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Distrito Federal,,,Espírito Santo,,,Maranhão,,,,,,,,,,,,,,,,,,,,
Categorias,,Itens,,,Resposta,Pontuação,Porcentagem,Resposta,Pontuação,Porcentagem,Resposta,Pontuação,Porcentagem,,,,,,,,,,,,,,,,,,
Acessibilidade e navegação,,Resultado de mecanismos de busca,,,Sim,4,"80,00%",Sim,5,"100,00%",Sim,5,"100,00%",,,,,,,,,,,,,,,,,,
,,Link para o portal na página do governo,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Mapa do site,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Motor de busca próprio,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Fornecer dados em vários formatos,,,Não,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
Prestação de informações ao cidadão,,Informações sobre o funcionamento do portal,,,Sim,4,"100,00%",Sim,4,"100,00%",Sim,4,"100,00%",,,,,,,,,,,,,,,,,,
,,Telefone para contato,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Item perguntas frequentes,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Informações atualizadas,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
Controle social sobre a administração,,Contratos na íntegra,,,Sim,11,"68,75%",Sim,12,"75,00%",Sim,13,"81,25%",,,,,,,,,,,,,,,,,,
,,Convênios na íntegra,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Transferências do estado para os municípios,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Valor total anual gasto pelo estado,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Despesas por natureza,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Acompanhamento online de obras,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Valores pagos aos servidores,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Valores pagos em cargos de comissão,,,Não,,,Não,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Indicadores fiscais,,,Não,,,Não,,,Não,,,,,,,,,,,,,,,,,,,,
,,Processos de licitação finalizados e em andamento,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Recebimento por credores do estado,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Valor recebido por escola,,,Não,,,Sim,,,Não,,,,,,,,,,,,,,,,,,,,
,,Valor recebido por hospital,,,Não,,,Não,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Valor recebido por órgão,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Obras realizadas pelo estado por município,,,Não,,,Não,,,Não,,,,,,,,,,,,,,,,,,,,
,,Enriquecer dados gerando novos dados,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
Interatividade e participação,,Dados legíveis por máquina,,,Sim,6,"66,67%",Sim,6,"66,67%",Sim,8,"88,89%",,,,,,,,,,,,,,,,,,
,,Fóruns para debate,,,Não,,,Não,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Mapas interativos,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Ferramenta de contato com o cidadão,,,Sim,,,Não,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Informações do portal em rede social,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Possibilidade de receber informações por e-mail,,,Não,,,Não,,,Não,,,,,,,,,,,,,,,,,,,,
,,Disponibilidade de e-mail para contato,,,Não,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Glossário,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Espaço para denúncias e reclamações,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,,,Total:,"78,85%",,,"85,42%",,,"92,53%",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resumo - Categorias,,Goiás ,Santa Catarina,Maranhão,Minas Gerais,Espírito Santo,Rondônia ,Paraná ,,Pernambuco,Espírito Santo,,Distrito Federal,Rio de Janeiro ,Tocantins,Rio Grande do Norte,Piauí ,Sergipe,Roraima,Mato Grosso do Sul,Bahia,São Paulo,Rio Grande do Sul,Alagoas,Paraíba ,Mato Grosso,Amazonas,Amapá ,Ceará ,Acre,Média
Acessibilidade e navegação,,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",,"100,00%","100,00%",,"80,00%","100,00%","100,00%","100,00%","80,00%","80,00%","60,00%","100,00%","60,00%","80,00%","80,00%","100,00%","80,00%","80,00%","80,00%","80,00%","60,00%","40,00%","86,67%"
Prestação de informações ao cidadão,,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",,"75,00%","100,00%",,"100,00%","75,00%","100,00%","100,00%","100,00%","100,00%","100,00%","50,00%","75,00%","75,00%","50,00%","75,00%","50,00%","75,00%","75,00%","25,00%","25,00%","50,00%","80,56%"
